City,AverageRating,RatingGroup
Athens,4.241316931982634,Top
Rome,4.19908330011957,Top
Oporto,4.164118705035971,Top
Stockholm,3.8947530864197533,Bottom
Milan,3.846076458752515,Bottom
Madrid,3.8445586975149957,Bottom
