City,Cuisine,count
Madrid,,15018
Edinburgh,,6187
Lisbon,,8701
Dublin,,5849
Berlin,,12327
London,,43925
Hamburg,,4044
Athens,,4101
Lyon,,3341
Ljubljana,,1409
Krakow,,3474
Barcelona,,18385
Amsterdam,,9842
Brussels,,6688
Helsinki,,2662
Copenhagen,,4611
Bratislava,,1678
Geneva,,3311
Luxembourg,,1556
Budapest,,7268
Prague,,11012
Stockholm,,5194
Oslo,,2942
Vienna,,8199
Paris,,25414
Zurich,,4272
Milan,,13371
Warsaw,,4715
Oporto,,3662
Rome,,17376
Munich,,5767
