_c0,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA,rank
2668,Le Buffet,Hamburg,[ 'International' ],2676.0,2.0,$,,"[ [  ], [  ] ]",/Restaurant_Review-g187331-d12932686-Reviews-Le_Buffet-Hamburg.html,d12932686,1
2579,Bei Teresa,Hamburg,"[ 'European', 'Central European', 'German' ]",2585.0,2.5,$$ - $$$,38.0,"[ [ 'A beer in the sun', 'Pratical' ], [ '10/23/2017', '09/27/2017' ] ]",/Restaurant_Review-g187331-d7251914-Reviews-Bei_Teresa-Hamburg.html,d7251914,1
2177,Anna Sgroi,Hamburg,"[ 'Italian', 'Vegetarian Friendly' ]",2181.0,3.0,$$$$,123.0,"[ [ 'Delicious ravioli but fish was well and tr...', 'Decent but flawed' ], [ '12/30/2017', '11/14/2017' ] ]",/Restaurant_Review-g187331-d4115001-Reviews-Anna_Sgroi-Hamburg.html,d4115001,1
1093,Bistro Piratti,Helsinki,"[ 'Bar', 'Pub' ]",1094.0,2.0,$,3.0,"[ [ 'Popular in 80s', 'Old and dirty - with lousy service' ], [ '12/05/2014', '07/20/2014' ] ]",/Restaurant_Review-g189934-d878261-Reviews-Bistro_Piratti-Helsinki_Uusimaa.html,d878261,1
1127,Spasso,Helsinki,"[ 'Italian', 'Pizza' ]",1128.0,2.0,$$ - $$$,5.0,"[ [  ], [  ] ]",/Restaurant_Review-g189934-d12321557-Reviews-Spasso-Helsinki_Uusimaa.html,d12321557,1
654,Neighbour Bistro,Helsinki,"[ 'Contemporary', 'Scandinavian', 'European' ]",655.0,3.5,$$$$,22.0,"[ [ 'Nice view, food ok', 'Good food and great view' ], [ '10/11/2017', '08/12/2017' ] ]",/Restaurant_Review-g189934-d12448314-Reviews-Neighbour_Bistro-Helsinki_Uusimaa.html,d12448314,1
1242,Alberto Pizza,Krakow,[ 'Italian' ],,-1.0,$,,"[ [  ], [  ] ]",/Restaurant_Review-g274772-d12374737-Reviews-Alberto_Pizza-Krakow_Lesser_Poland_Province_Southern_Poland.html,d12374737,1
1231,Pizza Hut,Krakow,[ 'Pizza' ],1232.0,2.0,$$ - $$$,71.0,"[ [ 'Worst service ever', 'Watch out for the conning waitress!' ], [ '09/07/2017', '02/12/2017' ] ]",/Restaurant_Review-g274772-d8177858-Reviews-Pizza_Hut-Krakow_Lesser_Poland_Province_Southern_Poland.html,d8177858,1
910,Avanti Ristorante,Krakow,[ 'Italian' ],911.0,3.5,$$$$,22.0,"[ [ 'Rubbish', 'Very good value' ], [ '03/06/2014', '06/16/2013' ] ]",/Restaurant_Review-g274772-d753344-Reviews-Avanti_Ristorante-Krakow_Lesser_Poland_Province_Southern_Poland.html,d753344,1
3696,Cinque Terre Lounge,Lisbon,[ 'Italian' ],3701.0,1.0,$,,"[ [ 'A place to avoid at all costs!' ], [ '09/18/2017' ] ]",/Restaurant_Review-g189158-d12748770-Reviews-Cinque_Terre_Lounge-Lisbon_Lisbon_District_Central_Portugal.html,d12748770,1
3687,Made in Correeiros,Lisbon,"[ 'European', 'Portuguese', 'Seafood' ]",3692.0,1.0,$$ - $$$,597.0,"[ [ 'Very bad restauration', 'Worst experience of my life!' ], [ '01/28/2018', '01/15/2018' ] ]",/Restaurant_Review-g189158-d12714847-Reviews-Made_in_Correeiros-Lisbon_Lisbon_District_Central_Portugal.html,d12714847,1
3690,Antao Santos e Martins,Lisbon,"[ 'European', 'Portuguese', 'Seafood' ]",3695.0,1.0,$$$$,25.0,"[ [ 'Useless and a rip-off!', 'Thieving toads' ], [ '02/14/2018', '02/14/2018' ] ]",/Restaurant_Review-g189158-d12285117-Reviews-Antao_Santos_e_Martins-Lisbon_Lisbon_District_Central_Portugal.html,d12285117,1
456,HALO PINKI d.o.o.,Ljubljana,"[ 'Mexican', 'Pizza', 'Grill' ]",457.0,2.5,$,4.0,"[ [ 'Longest food delivery - EVER!', 'Home delivery' ], [ '11/24/2017', '08/06/2017' ] ]",/Restaurant_Review-g274873-d6459339-Reviews-HALO_PINKI_d_o_o-Ljubljana_Upper_Carniola_Region.html,d6459339,1
461,Spica Caffe,Ljubljana,[ 'Cafe' ],462.0,2.0,$$ - $$$,21.0,"[ [ 'Fantastic location, bad and slow service', 'Early evening drink - perfect in summer' ], [ '05/20/2017', '11/24/2017' ] ]",/Restaurant_Review-g274873-d8489734-Reviews-Spica_Caffe-Ljubljana_Upper_Carniola_Region.html,d8489734,1
455,Biljardnica Kaval,Ljubljana,"[ 'Italian', 'Pizza' ]",456.0,2.5,$$$$,2.0,"[ [ 'GOOD FOOD, TERRIBLE SERVICE', 'Great Homemade Ravioli' ], [ '10/12/2017', '08/27/2017' ] ]",/Restaurant_Review-g274873-d12442814-Reviews-Biljardnica_Kaval-Ljubljana_Upper_Carniola_Region.html,d12442814,1
16291,Domino's Pizza- Crystal Palace,London,[ 'Pizza' ],16303.0,1.0,$,8.0,"[ [ 'Terrible customer service, my daughter did...', 'Worst experience ever!' ], [ '07/20/2017', '06/16/2017' ] ]",/Restaurant_Review-g186338-d5818787-Reviews-Domino_s_Pizza_Crystal_Palace-London_England.html,d5818787,1
18063,French Kitchen,London,[ 'French' ],,,$$ - $$$,,"[ [ 'Great New restaurant in Wandsworth' ], [ '01/08/2018' ] ]",/Restaurant_Review-g186338-d13000032-Reviews-French_Kitchen-London_England.html,d13000032,1
16322,Bertorelli - Fetter Lane,London,[ 'Italian' ],16337.0,1.0,$$$$,2.0,"[ [ 'Went here, had the WORST MEAL ever', 'Do yourself a favour and walk past this pl...' ], [ '12/20/2016', '12/16/2009' ] ]",/Restaurant_Review-g186338-d1421041-Reviews-Bertorelli_Fetter_Lane-London_England.html,d1421041,1
552,Bak Gi Bo,Luxembourg,[ 'Chinese' ],553.0,3.0,$,6.0,"[ [ 'Friendly Service and Good Food', 'Fast and cheap' ], [ '07/29/2017', '04/09/2016' ] ]",/Restaurant_Review-g190356-d7908079-Reviews-Bak_Gi_Bo-Luxembourg_City.html,d7908079,1
608,Chinese Emperor Restaurant,Luxembourg,"[ 'Chinese', 'Asian' ]",609.0,2.0,$$ - $$$,58.0,"[ [ 'Very nice New Year’s Eve dinner!', 'The worse ever restaurant!!!!' ], [ '12/31/2017', '09/21/2017' ] ]",/Restaurant_Review-g190356-d743810-Reviews-Chinese_Emperor_Restaurant-Luxembourg_City.html,d743810,1
612,Anabanana,Luxembourg,"[ 'Soups', 'Vegetarian Friendly' ]",613.0,2.5,$$$$,25.0,"[ [ 'First and last time', 'Very good dinner' ], [ '05/22/2016', '03/04/2016' ] ]",/Restaurant_Review-g190356-d2104395-Reviews-Anabanana-Luxembourg_City.html,d2104395,1
2636,Burger King,Lyon,[ 'American' ],2637.0,1.5,$,36.0,"[ [ 'Very good' ], [ '08/02/2017' ] ]",/Restaurant_Review-g1166685-d12499542-Reviews-Burger_King-Saint_Priest_Lyon_Rhone_Auvergne_Rhone_Alpes.html,d12499542,1
2929,MOI,Lyon,"[ 'Cafe', 'Healthy' ]",,,$$ - $$$,,"[ [  ], [  ] ]",/Restaurant_Review-g187265-d13367879-Reviews-MOI-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d13367879,1
2605,Papagayo,Lyon,[ 'Diner' ],2606.0,2.0,$$$$,33.0,"[ [  ], [  ] ]",/Restaurant_Review-g187265-d1329792-Reviews-Papagayo-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d1329792,1
8777,El Oasis Restaurante,Madrid,"[ 'Spanish', 'South American', 'Ecuadorean' ]",8793.0,1.0,$,,"[ [  ], [  ] ]",/Restaurant_Review-g187514-d7779011-Reviews-El_Oasis_Restaurante-Madrid.html,d7779011,1
9499,Bbq Burger,Madrid,[ 'American' ],,,$$ - $$$,,"[ [  ], [  ] ]",/Restaurant_Review-g187514-d13237999-Reviews-Bbq_Burger-Madrid.html,d13237999,1
